target,price,appellation2,text
2,19.0, Lombardia,Leggermente profumare bianco piccante aromio delicato melone verde fiore bianco primaverile fresco disinvolto offrire pera maturo frutta tropicale nota agrumare accanto brillante acidita aldegheri Turbiana Bianco italiano
3,90.0, Toscana,Violette lampone frutto passione naso Merlot toscano uniscere noto sapida grafita pietra bagnare ruscello scorrere oliva nero frutta succoso irrompe palato offrire ciliegia fragola lampone tannino deciso indulgente colpiscere tensione potente aggraziato Riecine Merlot
3,25.0, Sud Italia,Biologico vegano certificare sostenibile Nero Troia Tenuta Pajaru potere vantare riconoscimento rendere degno bere semplicemente piacevole Frutta rosso fresco croccante piano naso sfumatura prugna maturo viole lasciare palato lussuoso evocare torgere fico cioccolare fondente finere cuoio caffe macinato tenuta pajaru Nero Troia Rosso italiano
3,36.0, Toscana,aromi bacca buccia nero violetto macchia mediterraneo cuoio guidare naso miscela Cabernet Sauvignon Merlot Cabernet Franc Petit Verdot palato morbido sapido offrire confettura ribes nero tabacco liquirizia accanto tannino grana divertiti 2024 castello Bolgheri Miscele Rosse Miscele Rosse
3,100.0, Toscana,tabacco pipa fiore blu prugna Spezia Culinaria scuro aromio troverai rosso corposo aromio trasferire palato strutturare ciliegia seccare scorzare arancia anice stellare tannino solido grana fornire spina dorsale Bere 2022 2032 Gerla Sangiovese
2,20.0, Sud Italia,aromi noce tostato erbo secco quercio soffio frutta frutteto aprire strada aromio seguire vibrante palato medio corpo scorza agrumo fresco acidita nota mandore amara segnalare chiusura Terre Principe Pallagrello Bianco Bianco italiano
2,30.0, Lombardia,Pesca giallo pera minerale erba alpina mandore saltare bicchiere palato elegante strutturato offrire profondita sapore croccante acidita delizioso sviluppeere maggiore complessita prossimo bere 2016 ottella Turbiana Bianco italiano
3,30.0, Toscana,elegantemente strutturato Pinot Nero 100 vivace carico finezza aprire aromio rabarbaro bacca rosso spezie forno trasferire palato concentrato composta fragole minerale liquirizia acidita brillante tannino raffinato elastico fornire energia struttura raffinato Bere 2025 marchesi Pancrazi Pinot Nero Pinot Noir
3,16.0, Sud Italia,chiuso naso rivelare nota cacao pot pourro cemento bagnato bicchiere bello rotondita palato medio corpo aspre bacca rosso nero arrendere acidita pulsante tendere aspro leggero tono quercio verde emergere finale Vigneti Vulture Aglianico Rosso italiano
3,99.0, Toscana,aromi speziato prugna sottobosco cocco rovere francese aprire strada palato maturo distribuire ciliegia essiccato liquiriziare caffe espresso tabacco incorniciare tannino compatto Noterai calore alcol finale astringente Val Suga Sangiovese
2,70.0, Sud Italia,vivace vino quindici aprire aromio pietra focaio affumicato scorzare arancia maturo fiore acacia pressare palato strutturato medio corpo offrire goccia limone zuccherato ananas essiccato miele acidita fresco nota mandore amara segnare chiusura Meo Fiano Bianco italiano
1,36.0, Lombardia,semplice spumante aromio sapore delicato suggerire buccia mela giallo matura camomilla scorzare agrumo brillante acidita chiudere noto amara ca Or Chardonnay
3,110.0, Toscana,fragrante elegante offrire delizioso profume fiore blu pressato soffio terroso cuoio palato sapido raffinato offrire ciliegia rosso maturo mirtillo rosso anice stellare scorzare arancia erba tritare tannino levigato grana piacevolmente equilibrare brillante acidita Bere 2024 2033 Donatella Cinelli Colombini Sangiovese
2,12.0, Centro Italia,calice emergere aromio gelsomino pesca bianco palato disinvolto offrire mela Golden Delicious pompelmo rosa nota zenzero segnare finale Carminucci Pecorino Bianco italiano
2,13.0, Centro Italia,grasso pesante naso nota iniziale cortile animale sollevare interrogativo pulizia bocca pulire nota mela spezie precedere potente finale notare vino confezionare bello etichetta Moncaro Verdicchio Bianco italiano
3,40.0, Piemonte,estratto colore denso aromio ricco intenso succo ciliegia sciroppo melograno fiore campo spezie forno palato lussureggiante morbido nota mirtillo rosso erba selvatico terminare acidita necessario tenere vino Cascina Baricchi Barbera
3,23.0, Toscana,blend 80 Sangiovese restante comporre Cabernet Sauvignon Merlot aprire aromio frutta buccia nero caffe espresso palato semplice offrire prugna nero chiodo garofare tannino levigato divertiti presto Brancaia Miscele Rosse Miscele Rosse
3,75.0, Sicilia e Sardegna,aromi eucalipe to erba mediterraneo bacca selvatico mescolano soffio pietra bagnato corposo giovanilemente austero vantare eleganza peso distribuire sensazione amarena minerale pietra focaio mandore amarare chiusura liquirizia sapore frutta maturo immaginerestare forte grado alcolico 15 Franchetti Passopisciaro Nerello Mascalese Rosso italiano
1,22.0, Veneto,spumante semplice deciso aromio agrume fiore primaverile frutta tropicale maturo palato vigorosamente frizzante confuso offrire buccia mela giallo matura amaro nota candito mandore amarare accanto bollicine acciaio Philosophy Glera Bianco italiano
3,42.0, Sicilia e Sardegna,aprire aromio terroso frutto Bosco buccia scuro cuoio cedro terra lavorato palato sapido offrire prugna nero cassis tabacco liquiriziare tannino grana divertiti 2025 donnafugata Miscele Rosse Miscele Rosse
3,55.0, Sud Italia,naso denso amarene spirito fondere intenso accente spezia salato dolce palato deciso vantare sapore frutta scuro condensare rafforzare acidita piccante tannino grana spessore frutto centrale palato saporite tone speziato sollevare finale Vespa Nero Troia Rosso italiano
2,45.0, Sicilia e Sardegna,bicchiere emergere aromio grafita fiore giallo primaverile frutta nocciolo bianco miscela Insolia Grillo Zibibbo palato snello lineare presentare limone Meyer mela giallo mandore amarare vivace acidita accenno salino segnare finale Cusumano Miscela Bianca
1,27.0, Italia Altro,Delicati sentore vaniglia crema pasticcera pesca bianco modellano naso attraente spumante aromio trasferire palato pera giallo matura spezie forno nota scorza agrume candito mousse cremoso sfondo Felsina Miscela frizzante Frizzante
3,80.0, Piemonte,palato seguire aromio rovere francese cocco scorzare arancia amarena canfora pizzico anice chiudere nota espresso tannino granuloso serrare finale Roccheviberti Nebbiolo
3,52.0, Centro Italia,rosso lusso fondere tone ciliegia more imbevere brandy dose inebriante tabacco mentolato chiodo garofano salume tannino morbidio cremoso acidita brillante produrre palato corposo rotore levigato accessibile dovere reggere 2028 Binomio Montepulciano Rosso italiano
3,200.0, Piemonte,rosso muscoloso aprire aromio mentolo sottobosco spezie quercia palato corposo densamente concentrato tannino grana fitto accompagnare amarena carnoso confettura lampone cannella vaniglia Noterai calore alcol frutto gommoso resiste calore Bere 2021 2028 Reva Nebbiolo
2,69.0, Italia nord-orientale,aromi cedro fiore bianco nocciolere tostato guidare naso palato sapido medio corpo offrire mela Golden pompelmo tocco papaya brillante acidita Jermann Miscela Bianca
0,18.0, Sud Italia,Negroamaro rosato esordire aromio fiore arancio pesca melone piccolo formicolio palato dissolvere rapidamente rivelare sapore banana angurio nota tonico salire finale vivace Claudio Quarta Rose
2,20.0, Sud Italia,aromi vivaci scorza ananas melone pietrisco portare palato leggero linea acidita integrato donare palato medio tocco succoso spolverata minerale chiusura Rivera Chardonnay
1,65.0, Lombardia,aromi crosta pane tostato frutta Nocciolo maturo soffio noce mielata formare naso aromio proseguire palato vibrante mela golden maturo pesca bianco chiudere nota mandore amaro raffinato perlage accompagnare ricco sapore Ricci Curbastro Miscela frizzante Frizzante
2,32.0, Centro Italia,vinificato anfora macerare buccia 90 avvincente vino colore ambrato aprire inebriante aromio frutta nocciolo giallo matura zenzero cedro vetive er palato corposo delizioso presentare albicocca secca scorzare mandarino finocchio nocciolere tostato accompagnare acidita piccante davvero unico ricco personalita sapore Bere 2025 Monti Albana Bianco italiano
1,18.0, Italia Altro,Leggermente secco extra dry medio aromio cracker pasticceria zuccherato palato offrire mela nettarina appena maturo nota pepe bianco midollo agrumo tostare colpo sedano fresco importato VinUS Foss Marai Miscela Bianca
3,45.0, Piemonte,profume intenso seducente iris violettare fragola protagonista succoso elegante donare Marasca composto lampone spezie forno anice stellare tannino grana Bere 2021 2027 marchesi Barolo Nebbiolo
3,29.0, Sud Italia,aromi inebriante pot pourro speziato violette ginepro cavalcano denso nucleo bacca rovo vino tonificante palato medio corpo mostrare meraviglioso tensione precisione vantare sapore frutto Rossi stretto avvolgere tono grafita floreale acidita persistente tannino rinforzanto grana garantari longevita cantina Bevi 2022 coppio primitivo Zinfandel
3,70.0, Piemonte,aromio bacca buccia rosso sottobosco soffio fieno palato accessibile sapido offrire confettura fragole scorzare mandarino anice stellare tannino levigato Bere 2026 moscone Nebbiolo
3,60.0, Sicilia e Sardegna,aromi irresistibile macchia mediterraneo fiore viola profumato frutto Bosco pietrisco guidare naso splendido rosso palato delizioso elegantemente strutturato tannino levigato supportare perfettamente sapore succoso amarena lampone tritare liquirizia grafire fresco acidita mantenere equilibrato Bere 2021 2029 tascante Nerello Mascalese Rosso italiano
3,16.0, Sud Italia,ampio intensita aromio buccia arancia rosso prugna rosso erba pepare rosso palato medio corpo portare saporo frutto Bosco succoso tenere controllo linea deciso acidita teso incorniciare rustico tannino Menhir Salento Negroamaro Rosso italiano
3,30.0, Piemonte,bicchiere prendere forma aromi bacca scure fiore blu sottobosco palato sapido equilibrato offrire confettura amarene cedro liquiriziare tannino levigato fresco acidita Tenuta Rocca Barbera
3,105.0, Piemonte,bacche Bosco tartufo tabacco pipa soffio viola modellano naso sottile seducente elegantemente strutturato corposo palato generoso distribuire succoso amarena lampone schiacciato spezie forno avvolre tannino fitto raffinato nota liquirizia indugio chiusura immediato offrire divertimento Bere 2022 2029 Fontanafredda Nebbiolo
3,99.0, Piemonte,aromi moka pane tostare cocco guidare naso palato profume tradurre lineario amarena confettura amarene salvia accanto tannino decisi Bere 2022 Ca Rome Nebbiolo
3,160.0, Piemonte,Bastano rotazione bicchiere sprigionare aromio rosa pressato pino erba botanico grafita sbuffi tabacco pipa Ben strutturato palato finezzo offrire ciliegia seccare melograno liquirizia sentore chicco caffe tannino grana spettacolo annato esordio Aspetta complessita maggiore Bere 2022 2030 Pio Cesare Nebbiolo
3,70.0, Sicilia e Sardegna,realizzato vecchio vite piede franco Nerello Mascalese piccolo quantita Nerello Cappuccio aromio rosa pressato piccolo frutto Rossi spezie forno pizzico cuoio palato stretto austero offrire anice stellato ciliegia secco arancia rosso melograre contrasto tannino tesi grana vibrante acidita mantenere giovane equilibrato Theresa Eccher Miscele Rosse Miscele Rosse
2,35.0, Sud Italia,aromi scorza arancia albicoccare secca miele acacia sussegue palato corposo colore intenso nocciolo tostato timo insolire intrigante saporire alepa pallagrello Bianco Bianco italiano
1,30.0, Veneto,Prosecco vigneto singolo evidenziare precisione concentrazione Valdobbiadene vino aprire aromio mela verde maturo avanzare perare Anjou spruzzata limone fresco lasciare pietra bagnato palato leggero fresco amplificare pera mela aggiungere tocco acidita finale Tordera Miscela frizzante Frizzante
2,15.0, Veneto,Delicati sentore fiore primaverile frutta frutteto emergere bicchiere palato fresco nota mandore amaro sottolineare sapore pesca giallo mela golden nettarina vivace acidita coffele Garganega Bianco italiano
2,20.0, Sicilia e Sardegna,Fresco sapido offrire succoso sapore limone mela verde minerale mettere mostra croccante acidita palato equilibrato succoso vantare meraviglioso combinazione profondita finezza tascante Carricante Bianco italiano
1,66.0, Lombardia,pasta pane frutta nocciolo bianco erba selvatico soffio scorza agrume mescolano noto balsamica fragrante spumante delizioso carico finezza offrire succoso amarena melograre spezie forno erba grigliare mousse setoso brillante acidita mantenere fresco equilibrato Ferghettina Miscela frizzante Frizzante
3,40.0, Toscana,bicchiere emergere sottile aromio terra bruciato spezie forno frutta scuro palato schietto evocare confettura lampone chiodo garofano mandore amarare accanto tannino levigato persistente Bonacchi Sangiovese
2,40.0, Sicilia e Sardegna,aromi rovere tostato nocciolo espresso guidare naso sensazione rovere trasferire palato deciso scorza agrumo candito caramello burro buccia mela giallo nota dolciario Feudo Maccari Grillo Bianco italiano
1,65.0, Lombardia,ricco lievitare aromio cereale colazione zucchero velo pane tostare Mostra complessita caratteristica regalo pane tostare burro frutta mela cristallino tocco minerale finale leggero giusto succoso sostanza Ca Bosco Miscela frizzante Frizzante
3,30.0, Centro Italia,naso concentrato amarena aromio frutto Bosco mostrare buono integrazione spezie forno tone tabacco ingresso morbido palato medio corpo tannino arrotondato acidita integrato creare bello denso nucleo ciliegia frutto Bosco Montepulciano lucido moderno piacare Citra Montepulciano Rosso italiano
3,55.0, Piemonte,fragranti aromio fiore blu spezia esotico prugna cotta mescolano noto balsamico canfora palato compatto austero offrire amarena mirtillo rosso acido incenso liquirizia contrapposto tannino deciso grana bisogno diverso rilassare Enzo Boglietti Nebbiolo
2,39.0, Sicilia e Sardegna,realizzato 90 Carricante 10 Catarratto presentare delicato aromio fiore bianco primaverile macchia mediterraneo pera palato rotondo acidita sapidare sollevare mela giallo limone Meyer miele acacia mandore chiusura salino Palmento Costanzo Miscela Bianca
3,25.0, Toscana,aromio petale rosa bacca rosso erba botanico apripista palato luminoso disinvolto tannino polveroso persistente accompagnare ciliegia rosso arancia rosso accenno chiodo garofano macinato marchesi de Frescobaldi Sangiovese
1,30.0, Centro Italia,aprire aromio suggerire scorza mandarino noce frutta frutteto palato luminoso offrire pompelmo rosa grafire agrumo candito accenno liquore arancia perlage continuo sfondo Paltrinieri Lambrusco Sorbara Rosso italiano
3,17.0, Sud Italia,blend Negroamaro Malvasia Nera Merlot ricco aromio cocco vaniglia morbido elastico palato succoso acidita sollevare nucleo pungente frutto bacca rosso mora fornire bello contrappunto tono speziato caldo pesante Marrone Miscele Rosse Miscele Rosse
2,44.0, Italia nord-orientale,classico aromio varietale foglia pomodoro frutta esotico agrumo saltare praticamente bicchiere palato luminoso donare succoso pesca nettarina pompelmo sedare salvia vena minerale donare energia Vie Romans Sauvignon Sauvignon Blanc
0,13.0, Veneto,aromi fiore arancio frutto Bosco apripista palato luminoso semplice snello offrire suggestione fragola ciliegia accanto vibrante acidita Santi Rosato Rose
3,28.0, Centro Italia,aromi frutta buccia nero spezie forno mokao guidare naso palato maturo offrire prugna nero vaniglia tabacco tannino deciso calore alcool evidente cornice Bere 2019 Monti Sangiovese
2,25.0, Italia nord-orientale,calice emergere aromio gelsomino agrumo frutta nocciolo giallo palato luminoso strutturato offrire pompelmo arancia rosso piccante zenzero rinfrescante acidita Franz Gojer Glogglhof Kerner Bianco
1,25.0, Italia Altro,elegante fresco delizioso spumante rosato aprire delicato sentore crosta pane frutta frutteto palato sapido offrire mela renetta ciliegia maturo zenzero pizzico scorza mandarino spuma morbido continuare Falesco Pinot Noir
1,20.0, Italia Altro,aromi ginestra spagnolo caprifoglio nota lievito guidare naso spumante siciliano Etna palato offrire mela maturo agrumo candito noce amare accanto bollicine persistente acidita sapido Murgo Nerello Mascalese Rosso italiano
2,21.0, Italia nord-orientale,trascorrere 12 mese rovere mostrare offrire aromio fumo liquido sapore zucchero canna miele caramello frutto sottotere lasciare accento rovere componente minerale provare piatto pesce ricco sapore delicato o chevres delicato Cantina Terlano Pinot Bianco Pinot Blanc
2,13.0, Centro Italia,naso fruttato succo pesca ananas portare palato medio corpo bello peso tensione tatto ampio acidita spingere intensita guidare frutta Bosco Nestore Trebbiano Bianco italiano
1,50.0, Italia Altro,Frutta bianco frutteto fiore giallo primaverile aromio pane croccante aprire strada morbido spumante ottenere Chardonnay palato luminoso offrire mela Golden Delicious fetta limone candire nocciolere tostato contrapposto acidita croccante perlage raffinato Carpene Malvolti Chardonnay
3,120.0, Piemonte,calice emergere aromio cuoio cedro soffio petale rosa palato deciso offrire amarena essiccato pepe macinato moka tannino decisi Bere 2021 cascina Monastero Nebbiolo
3,13.0, Piemonte,aprire aromio vaniglia tabacco pipa ripercuote palato accenno confettura lampone accomodante tannino morbidio divertiti presto Bioca Dolcetto Rosso italiano
1,15.0, Veneto,spumante divertente delicato aromio fiore bianco suggestione rosmarino semplice palato rinfrescante offrire cremoso mela giallo accenno candire goccia limone Menage Trois Glera Bianco italiano
3,50.0, Centro Italia,aromi prugna seccare uva passa spezie forno guidare naso palato primario giovanile austero mostrare uva passa pepe macinare tannino corroboranto stringere finale tannino paio bevo catturare frutto rimanente Arnaldo Caprai Sagrantino Rosso italiano
3,12.0, Sud Italia,aromi luminoso confettura ciliegia prugna geranio scorzare arancia rosso pietrisco accompagnare naso palato elegante corpo leggero offrire frutto Rossi croccante sollevare succoso acidita rendere vino super fresco piacevole tannino cavalcano sfondo prestare sostegno sapore fruttato minerale Tormaresca Primitivo Zinfandel
2,20.0, Sud Italia,fragranti aromio fiore campo frutta nocciolo giallo erba selvatico uniscere palato medio corpo offrire albicocca secca scorzare arancia pizzico mandore amarare accanto acidita piccante torre Oriente Falanghina Bianco italiano
2,28.0, Italia nord-orientale,Mostrando elegante Pinot Grigio naso delicato offrire biancospino frutta nocciolo bianco erba alpina Luminoso sapido palato raffinato presentare pesca bianco cremoso perare maturo pizzico lima accanto nota salino fresco acidita mantenere brillante nota mandore amara segnalare chiusura Elena Walch Pinot Grigio
3,250.0, Piemonte,aromi sottobosco tabacco nocciolo tostato mentolo erba tostato prendere lentamente forma rosso concentrato palato strutturato elegante tannino tesi raffinato fresco acidita fornire cornice degno invecchiamento composta lampone succoso ciliegia marasca scorza arancia pepe bianco anice stellato strare profondita sacco finezza reggere complessita maggiore Bere 2022 2030 Gaja Nebbiolo
3,42.0, Sud Italia,vino trascorrere 18 mese rovere francese 50 naso aromio anice selvaggina pepe cavalcano nucleo concentrato ciliegia scuro palato cremoso tatto frutto Bosco maturo sapore spezie saporito supportare tannino integrare acidita brillante pietraventosa primitivo Zinfandel
2,27.0, Centro Italia,aromi ginestra spagnolo pressato quercio marzapane agrumo fondere bicchiere palato ricco medio corpo offrire scorza nettarina candito vaniglia mandore tostare brillante acidita Bevi o tienilare Casalfarneto Verdicchio Bianco italiano
1,75.0, Lombardia,realizzato interamente Chardonnay elegante spumante offrire aromio frutta nocciolo giallo fiore bianco primaverile palato cremoso offrire mela giallo matura erbo tritare scorzare mandarino morbido perlage Ca Bosco Miscela frizzante Frizzante
3,22.0, Toscana,terreno lavorato sottobosco umido cuoio aromio erba palato filante lineare tannino grana brillante acidita supportare sapore ciliegia selvatico tabacco accenno terroso selvaggina Bere 2024 Travignoli Miscele Rosse Miscele Rosse
2,18.0, Centro Italia,aprire aromio pompelmo albicocca trasferire palato succosa noto limone brillante fresco acidita Bere 2021 Filodivino Verdicchio Bianco italiano
3,70.0, Piemonte,accattivantemente floreale rosso profumato aprire aromio rosa violettare iris mescolano bacca profumato eucalipto palato altrettanto accattivante vantare finezza circondare comporre fragole lampone aniceo stellare erba tritare nota pepe bianco abbellisca finale persistente impeccabilmente equilibrato acidita brillante tannino tesi raffinato Bere 2023 2033 G D Vajra Nebbiolo
1,30.0, Lombardia,delizioso spumante aromio pesca bianco crosta pane palato offrire sapore cremoso pesca albicocca nota mandore tostato acidita croccante dissetante creare finale pulito Cola Chardonnay
2,22.0, Piemonte,naso timido rivelare sentore frutta nocciolo erba selvatico nocciolo palato rotondo offrire aromio albicocca secco agrumo fresco acidita chiudere nota mandore Nino Costa Arneis Bianco italiano
2,17.0, Sicilia e Sardegna,naso Grillo aprire vaniglia cedro trasformare denso aromio fruttato mela cotto cagliare limone palato cantare agrumo misto limone arancia pompelmo mela giallo verde infine pietra schiacciato erba erba arrivare finale Planeta Grillo Bianco italiano
1,65.0, Piemonte,miscela 70 Chardonnay 30 Pinot Nero radioso spumante aromio invitante biancospino frutta nocciolo bianco brioca Riflettendo naso palato sapido elegantemente strutturato presentare mela giallo matura perare Bartlett cremoso agrumo finire nota guscio pasta frollo perlage raffinato acidita vivace mantengere energico equilibrato Tenute Rade Miscela frizzante Frizzante
3,60.0, Piemonte,aprire aromio moka rovere tostato canfora palato muscoloso offrire prugnare secca chicco caffe tostato tabacco tannino deciso condurre finale astringente Bere 2023 crissante Nebbiolo
3,55.0, Toscana,miscela Cabernet Sauvignon Merlot aromio ricordare viola spezia rovere moka palato concentrato mostrare confettura ribes nero liquirizia chiodo garofano macinare tannino grana Pietranova Miscele Rosse Miscele Rosse
3,60.0, Piemonte,aprire aromio tenuo canfora terra coltivato soffio frutto Bosco palato solido offrire tabacco vaniglia ciliegia seccare accanto tannino decisi Bere 2022 ellena Nebbiolo
3,50.0, Veneto,aromi seducento violetta bacca scure cuoio noto balsamica guidare naso palato succoso offrire amarena essiccato liquiriziare pepe nero tannino levigato fresco acidita Bevi 2027 Novaia Miscele Rosse Miscele Rosse
1,22.0, Veneto,Leggermente profumato aromio delicato suggeriscere fiore primaverile mela giallo soffio lievitare pasta frollo palato leggermente schiumoso acidita frizzante compensare pera giallo cremoso nota goccia limone candito Canevel Miscela Bianca
1,18.0, Veneto,Delicati sentore fiore bianco primaverile frutta nocciolo bianco diffondono bicchiere palato croccante acidita vivace mousse spumeggiante accompagnare mela Granny Smith mandorla bianco Santi Glera Bianco italiano
3,48.0, Piemonte,Mentolo rovere francese spezia esotico aromio fiore blu fondere lentamente Ben strutturato palato stretto solido offrire ciliegia seccare scorzare arancia chicco caffe tostare tannino grana lasciare finale astringente Brangero Nebbiolo
3,90.0, Sicilia e Sardegna,fragrante carico finezza splendido rosso stordire accattivante sentore rosa pressato violetto bacca rosso pepe bianco sbuffi fumo nota balsamico Dotato estremo eleganza intensita palato morbido delizioso offrire gelatina fragole composto lampone cannella minerale pietra focaio incorniciare tannino levigato setoso Ottenuto vignetio alto Etna vite 100 dotare brillante acidita mantenere superbamente equilibrato Bere 2030 Franchetti Passopisciaro Nerello Mascalese Rosso italiano
3,13.0, Centro Italia,aromi frutto Bosco buccia nero spezie forno terra lavorato guidare naso vino semplice palato succoso offrire prugna rosso chiodo garofano tocco cannella tannino rotondo divertiti presto Enio Ottaviani Sangiovese
3,20.0, Italia nord-orientale,vino timido naso potere decantare bere vino aprire aromio confettura amarene more mix pepe bianco spezie dolce forno palato lussureggiante carico sapore prugna aspre amarene secco erba aromatico vino terminare tannino elegante brillante tocco acidita Peter Zemmer Lagrein Rosso italiano
2,50.0, Centro Italia,Profumi delicato evocare frutta nocciolo giallo fiore pressato cera ape erba tritato emergere bicchiere palato luminoso lineare offrire albicocca maturo scorzare mandarino pizzico mandore bianco accanto vibrante acidita Barberani Miscela Bianca
2,27.0, Italia nord-orientale,aromio suggerire fragranto fiore bianco frutta nocciolo spezie palato offrire dolce pesca bianco pompelmo rosa accentare noce moscato minerale Rileverai calore alcol Caldaro Kerner Bianco
3,43.0, Toscana,aromi tenuare terra lavorato rovere francese chicco caffe tostato emergere lentamente bicchiere palato denso presentare note prugna seccare foglia tabacco esprimere tannino grana Noterai calore alcool evidente dominare finale Bere 2026 Bibbiano Sangiovese
3,140.0, Toscana,sottobosco frondoso terra cotto sole anice stellare soffio cuoio aprire strada palato deciso elegantemente strutturato offrire ciliegia selvatico maturo lampone schiacciato liquirizia chiodo garofare spina dorsale tannine deciso arrotondare Bere 2018 2025 tenuta Sesta Sangiovese
1,50.0, Lombardia,aromio delicato crosta pane frutto frutteto soffio erba botanico palato luminoso elegante fresco acidita vivace raffinato perlage accompagnare melograre pompelmo punta nocciola Ricci Curbastro Miscela frizzante Frizzante
1,250.0, Italia nord-orientale,realizzato 70 Pinot Nero 30 Chardonnay squisito strutturare spumante aprire invitante profume petale rosa agrumo spezie forno frutto rosso palato splendido radioso vantare vivacita profondita succoso ciliegia rosso melograre sovrapponge rabarbaro nota minerale richiamare grafite soluzione salino perlage setoso persistente fornire finezza acidita brillante conferire intensita precisione Straordinario Ferrari Miscela frizzante Frizzante
3,60.0, Piemonte,aromio amarena cocco caffe espresso mentolo guidare naso palato corposo ricchezza frutta evocare ciliegia crudo scorzare arancia liquirizia rovere francese tannino tesi astringento afferrare finale Agostino Bosco Nebbiolo
2,20.0, Toscana,miscela Vermentino Ansonica Viognier aromio delicato fiore bianco primavera frutta nocciolo bianco palato sapido corpo leggero delicato suggerere pesca bianco ananas agrumo croccante acidita chiudere nota salino Mortelle Miscela Bianca
3,80.0, Piemonte,aromi bacca buccia nero spezie nero soffio quercio tostare modellano naso palato strutturato offrire amarena essiccato caffe espresso liquirizia tannino grana fornire supporto Bere 2022 Amalia Nebbiolo
